round,stage,changed_target,sample_set,sample_eval_use_count,counted,excluded,metric,value,threshold,verdict,commit
0,探索,変えない（2 度目）,dev,0,160,0,抜けの件数（大きい・診断）,0,診断,診断,
0,探索,変えない（2 度目）,dev,0,160,0,足しの件数（大きい・診断）,0,診断,診断,
0,探索,変えない（2 度目）,dev,0,160,0,固有名の崩れの件数（大きい・診断）,5,診断,診断,
0,探索,変えない（2 度目）,dev,0,160,0,口調の不一致の件数（大きい・診断）,1,診断,診断,
0,探索,変えない（2 度目）,dev,0,160,0,日本語として壊れている件数（大きい・診断）,5,診断,診断,
0,探索,変えない（2 度目）,dev,0,594,4,意味の一致（全体・診断）,0.8447,診断,診断,
0,探索,変えない（2 度目）,dev,0,167,2,意味の一致（前の行を持つ行・診断）,0.8427,診断,診断,
0,探索,変えない（2 度目）,dev,0,594,4,原文への近さの差（診断）,0.0106,診断,診断,
0,探索,変えない（2 度目）,dev,0,594,4,公式訳との判別しにくさ（診断）,0.669,診断,診断,
0,探索,変えない（2 度目）,dev,0,594,4,敬体を含む割合（診断）,7.1,診断,診断,
0,探索,変えない（2 度目）,dev,0,594,4,一人称を書く割合（診断）,20.4,診断,診断,
0,探索,変えない（2 度目）,dev,0,594,4,二人称を書く割合（診断）,13.0,診断,診断,
0,探索,変えない（2 度目）,dev,0,594,4,訳の文字数÷原文の文字数（中央値・診断）,0.510,診断,診断,
0,探索,変えない（2 度目）,dev,0,598,0,破損行の件数（診断）,4,診断,診断,
p,探索,予備 1。要因 A（前の行を 1 行渡す。169 件へ届く）,dev,0,160,0,重さ大きいの誤りの件数,22,15 件以下,満たさない,
p,探索,予備 1。要因 A（前の行を 1 行渡す。169 件へ届く）,dev,0,160,0,意味の取り違えの件数（大きい・診断）,11,診断,診断,
p,探索,予備 1。要因 A（前の行を 1 行渡す。169 件へ届く）,dev,0,160,0,指示先の欠落の件数（大きい・診断）,0,診断,診断,
p,探索,予備 1。要因 A（前の行を 1 行渡す。169 件へ届く）,dev,0,160,0,語順と品詞のなぞりの件数（大きい・診断）,0,診断,診断,
p,探索,予備 1。要因 A（前の行を 1 行渡す。169 件へ届く）,dev,0,60,0,応答の噛み合わなさの件数（大きい・診断）,1,診断,診断,
p,探索,予備 1。要因 A（前の行を 1 行渡す。169 件へ届く）,dev,0,160,0,抜けの件数（大きい・診断）,0,診断,診断,
p,探索,予備 1。要因 A（前の行を 1 行渡す。169 件へ届く）,dev,0,160,0,足しの件数（大きい・診断）,4,診断,診断,
p,探索,予備 1。要因 A（前の行を 1 行渡す。169 件へ届く）,dev,0,160,0,固有名の崩れの件数（大きい・診断）,1,診断,診断,
p,探索,予備 1。要因 A（前の行を 1 行渡す。169 件へ届く）,dev,0,160,0,口調の不一致の件数（大きい・診断）,1,診断,診断,
p,探索,予備 1。要因 A（前の行を 1 行渡す。169 件へ届く）,dev,0,160,0,日本語として壊れている件数（大きい・診断）,4,診断,診断,
p,探索,予備 1。要因 A（前の行を 1 行渡す。169 件へ届く）,dev,0,596,2,意味の一致（全体・診断）,0.8425,診断,診断,
p,探索,予備 1。要因 A（前の行を 1 行渡す。169 件へ届く）,dev,0,169,0,意味の一致（前の行を持つ行・診断）,0.8398,診断,診断,
p,探索,予備 1。要因 A（前の行を 1 行渡す。169 件へ届く）,dev,0,596,2,原文への近さの差（診断）,0.0111,診断,診断,
p,探索,予備 1。要因 A（前の行を 1 行渡す。169 件へ届く）,dev,0,596,2,公式訳との判別しにくさ（診断）,0.684,診断,診断,
p,探索,予備 1。要因 A（前の行を 1 行渡す。169 件へ届く）,dev,0,596,2,敬体を含む割合（診断）,6.7,診断,診断,
p,探索,予備 1。要因 A（前の行を 1 行渡す。169 件へ届く）,dev,0,596,2,一人称を書く割合（診断）,20.5,診断,診断,
p,探索,予備 1。要因 A（前の行を 1 行渡す。169 件へ届く）,dev,0,596,2,二人称を書く割合（診断）,11.6,診断,診断,
p,探索,予備 1。要因 A（前の行を 1 行渡す。169 件へ届く）,dev,0,596,2,訳の文字数÷原文の文字数（中央値・診断）,0.515,診断,診断,
p,探索,予備 1。要因 A（前の行を 1 行渡す。169 件へ届く）,dev,0,598,0,破損行の件数（診断）,2,診断,診断,
p2,探索,予備 2。要因 B（口調の指示文へ肯定否定と主体を保つ 1 行を足す。287→324 文字）,dev,0,160,0,重さ大きいの誤りの件数,28,15 件以下,満たさない,
p2,探索,予備 2。要因 B（口調の指示文へ肯定否定と主体を保つ 1 行を足す。287→324 文字）,dev,0,160,0,意味の取り違えの件数（大きい・診断）,18,診断,診断,
p2,探索,予備 2。要因 B（口調の指示文へ肯定否定と主体を保つ 1 行を足す。287→324 文字）,dev,0,160,0,指示先の欠落の件数（大きい・診断）,0,診断,診断,
p2,探索,予備 2。要因 B（口調の指示文へ肯定否定と主体を保つ 1 行を足す。287→324 文字）,dev,0,160,0,語順と品詞のなぞりの件数（大きい・診断）,0,診断,診断,
p2,探索,予備 2。要因 B（口調の指示文へ肯定否定と主体を保つ 1 行を足す。287→324 文字）,dev,0,60,0,応答の噛み合わなさの件数（大きい・診断）,1,診断,診断,
p2,探索,予備 2。要因 B（口調の指示文へ肯定否定と主体を保つ 1 行を足す。287→324 文字）,dev,0,160,0,抜けの件数（大きい・診断）,1,診断,診断,
p2,探索,予備 2。要因 B（口調の指示文へ肯定否定と主体を保つ 1 行を足す。287→324 文字）,dev,0,160,0,足しの件数（大きい・診断）,1,診断,診断,
p2,探索,予備 2。要因 B（口調の指示文へ肯定否定と主体を保つ 1 行を足す。287→324 文字）,dev,0,160,0,固有名の崩れの件数（大きい・診断）,3,診断,診断,
p2,探索,予備 2。要因 B（口調の指示文へ肯定否定と主体を保つ 1 行を足す。287→324 文字）,dev,0,160,0,口調の不一致の件数（大きい・診断）,1,診断,診断,
p2,探索,予備 2。要因 B（口調の指示文へ肯定否定と主体を保つ 1 行を足す。287→324 文字）,dev,0,160,0,日本語として壊れている件数（大きい・診断）,3,診断,診断,
p2,探索,予備 2。要因 B（口調の指示文へ肯定否定と主体を保つ 1 行を足す。287→324 文字）,dev,0,595,3,意味の一致（全体・診断）,0.8419,診断,診断,
p2,探索,予備 2。要因 B（口調の指示文へ肯定否定と主体を保つ 1 行を足す。287→324 文字）,dev,0,169,0,意味の一致（前の行を持つ行・診断）,0.8401,診断,診断,
p2,探索,予備 2。要因 B（口調の指示文へ肯定否定と主体を保つ 1 行を足す。287→324 文字）,dev,0,595,3,原文への近さの差（診断）,0.0089,診断,診断,
p2,探索,予備 2。要因 B（口調の指示文へ肯定否定と主体を保つ 1 行を足す。287→324 文字）,dev,0,595,3,公式訳との判別しにくさ（診断）,0.654,診断,診断,
p2,探索,予備 2。要因 B（口調の指示文へ肯定否定と主体を保つ 1 行を足す。287→324 文字）,dev,0,595,3,敬体を含む割合（診断）,8.1,診断,診断,
p2,探索,予備 2。要因 B（口調の指示文へ肯定否定と主体を保つ 1 行を足す。287→324 文字）,dev,0,595,3,一人称を書く割合（診断）,18.5,診断,診断,
p2,探索,予備 2。要因 B（口調の指示文へ肯定否定と主体を保つ 1 行を足す。287→324 文字）,dev,0,595,3,二人称を書く割合（診断）,13.4,診断,診断,
p2,探索,予備 2。要因 B（口調の指示文へ肯定否定と主体を保つ 1 行を足す。287→324 文字）,dev,0,595,3,訳の文字数÷原文の文字数（中央値・診断）,0.513,診断,診断,
p2,探索,予備 2。要因 B（口調の指示文へ肯定否定と主体を保つ 1 行を足す。287→324 文字）,dev,0,598,0,破損行の件数（診断）,3,診断,診断,
