round,stage,changed_target,sample_set,sample_eval_use_count,counted,excluded,metric,value,threshold,verdict,commit
p-labels,探索,属性名4行だけ,組み合わせ開発用,0,72,0,ペルソナが明確に現れた割合,16.7,診断,診断,
p-labels,探索,属性名4行だけ,組み合わせ開発用,0,72,0,性別が明確に現れた割合,5.6,診断,診断,
p-labels,探索,属性名4行だけ,組み合わせ開発用,0,72,0,年齢が明確に現れた割合,6.9,診断,診断,
p-labels,探索,属性名4行だけ,組み合わせ開発用,0,16,0,Khajiitが明確に現れた割合,0.0,診断,診断,
p-instruction,探索,マトリクス統合指示と現行1例,組み合わせ開発用,0,72,0,ペルソナが明確に現れた割合,23.6,診断,診断,
p-instruction,探索,マトリクス統合指示と現行1例,組み合わせ開発用,0,72,0,性別が明確に現れた割合,12.5,診断,診断,
p-instruction,探索,マトリクス統合指示と現行1例,組み合わせ開発用,0,72,0,年齢が明確に現れた割合,1.4,診断,診断,
p-instruction,探索,マトリクス統合指示と現行1例,組み合わせ開発用,0,16,0,Khajiitが明確に現れた割合,6.3,診断,診断,
p-fewshot,探索,組み合わせ別few-shotを3例追加,組み合わせ開発用,0,72,0,全属性が明確に現れた割合,2.8,,予備,
p-fewshot,探索,組み合わせ別few-shotを3例追加,組み合わせ開発用,0,72,0,ペルソナが明確に現れた割合,45.8,診断,診断,
p-fewshot,探索,組み合わせ別few-shotを3例追加,組み合わせ開発用,0,72,0,性別が明確に現れた割合,8.3,診断,診断,
p-fewshot,探索,組み合わせ別few-shotを3例追加,組み合わせ開発用,0,72,0,年齢が明確に現れた割合,5.6,診断,診断,
p-fewshot,探索,組み合わせ別few-shotを3例追加,組み合わせ開発用,0,16,0,Khajiitが明確に現れた割合,56.3,診断,診断,
p-v2,探索,完全交差した組み合わせ別few-shot3例,合成原文開発用,0,12,0,ペルソナの対応正解率,83.3,診断,診断,
p-v2,探索,完全交差した組み合わせ別few-shot3例,合成原文開発用,0,18,0,性別の対応正解率,77.8,診断,診断,
p-v2,探索,完全交差した組み合わせ別few-shot3例,合成原文開発用,0,12,0,年齢の対応正解率,58.3,診断,診断,
p-v2,探索,完全交差した組み合わせ別few-shot3例,合成原文開発用,0,18,0,種族の対応正解率,100.0,診断,診断,
p-v2,探索,完全交差した組み合わせ別few-shot3例,合成原文開発用,0,72,0,全品質要件同時合格率,61.1,診断,診断,
p-v2,探索,完全交差した組み合わせ別few-shot3例,合成原文開発用,0,12,0,品質込みペルソナ比較正解率,0.0,,予備,
p-v2,探索,完全交差した組み合わせ別few-shot3例,合成原文開発用,0,18,0,品質込み性別比較正解率,16.7,,予備,
p-v2,探索,完全交差した組み合わせ別few-shot3例,合成原文開発用,0,12,0,品質込み年齢比較正解率,0.0,,予備,
p-v2,探索,完全交差した組み合わせ別few-shot3例,合成原文開発用,0,18,0,品質込み種族比較正解率,27.8,,予備,
p-v3,最終確認,few-shot劣化の修正,合成原文受入確認,0,72,0,全品質要件同時合格率,68.1,90%以上（65/72以上）,満たさない,
p-v3,最終確認,few-shot劣化の修正,合成原文受入確認,0,12,0,ペルソナの対応正解率,100.0,75%以上（9/12以上）,満たす,
p-v3,最終確認,few-shot劣化の修正,合成原文受入確認,0,18,0,性別の対応正解率,72.2,72.2%以上（13/18以上）,満たす,
p-v3,最終確認,few-shot劣化の修正,合成原文受入確認,0,12,0,年齢の対応正解率,91.7,50%以上（6/12以上）,満たす,
p-v3,最終確認,few-shot劣化の修正,合成原文受入確認,0,18,0,種族の対応正解率,100.0,94.4%以上（17/18以上）,満たす,
p-v3,最終確認,few-shot劣化の修正,合成原文受入確認,0,72,0,既知の品質失敗件数,18,0件,満たさない,
p-v3,人間判断,few-shot劣化の修正,合成原文受入確認,0,72,0,意味・書式・自然さの品質合格率,90.3,90%以上（65/72以上）,満たす,
p-v3,人間判断,few-shot劣化の修正,合成原文受入確認,0,1,0,採否,1,人間が実物を許容,採用候補,
